Keywords,Regression,Support
js,2.311224489795918,0.017857142857142856
shyam,9.614795918367347,0.02806122448979592
rails,3.50765306122449,0.03571428571428571
tweet,6.364795918367347,0.058673469387755105
share,2.6785714285714284,0.01020408163265306
gmail,1.1658163265306125,0.012755102040816327
twitter,10.938775510204081,0.07908163265306123
php,1.163265306122449,0.01020408163265306
is,4.696428571428573,0.01020408163265306
likes,3.7984693877551012,0.012755102040816327
cto,6.630102040816326,0.08418367346938775
zenladger,3.4719387755102042,0.015306122448979591
nodejs,4.6403061224489806,0.03826530612244898
post,2.3979591836734686,0.01020408163265306
reactjs,2.311224489795918,0.017857142857142856
google,8.313775510204083,0.05357142857142857
starbuck,2.326530612244898,0.007653061224489796
like,1.2780612244897958,0.002551020408163265
facebook,13.31122448979592,0.07908163265306123
assurance,5.668367346938775,0.03826530612244898
adwords,5.737244897959183,0.04846938775510204
comment,4.994897959183671,0.030612244897959183
its,9.770408163265305,0.03316326530612245
ceo,2.395408163265306,0.00510204081632653
ram,8.645408163265303,0.04336734693877551
ruby,5.80357142857143,0.03571428571428571
navi,4.561224489795919,0.04081632653061224
ads,5.801020408163264,0.03571428571428571
sundar,6.341836734693878,0.03316326530612245
whitehat,9.392857142857142,0.07142857142857142
